3065,1941,1940,0.00243352
0,1274,321,0.00102991
2232,2065,1098,0.0011625
4403,1071,1588,0.0024126
3496,241,586,0.000116656
2558,1350,1646,0.000254235
4667,1381,2027,0.00393507
2060,1567,966,0.00234092
2,416,412,0.00162495
3845,532,540,0.00218267
3846,532,541,0.000864716
3844,532,542,0.0013031
1294,1616,539,0.00108761
3221,48,110,0.000169981
1345,1733,559,0.000190747
2288,1416,1136,0.000333636
3847,534,541,0.00301786
1464,621,1301,0.00114878
1021,436,405,0.00243244
2609,1433,1395,0.00199282
2117,1241,1006,0.0038326
4451,1114,1119,0.00644383
2405,1225,1223,0.0005133
2082,1379,979,0.00299706
4557,1225,1226,0.00303203
4351,1007,1665,0.000214027
2413,1240,1977,0.000185686
1338,558,680,0.00172244
1391,944,582,0.00330964
445,891,160,0.000826037
387,622,137,0.0014885
1110,1230,446,0.000574226
2284,1715,1132,0.00274626
2134,1781,1015,0.0029693
3445,271,446,0.0018488
2074,976,975,0.00118608
4535,1201,1202,0.0044992
4536,1201,1203,0.000523892
4781,1516,1520,0.000300089
4952,1839,1836,0.00349779
3050,1912,1910,0.000642011
3905,574,997,0.00312301
3452,211,378,0.00162389
2469,1295,1294,0.000720315
2709,1495,1493,0.00257226
375,130,628,0.0011835
2515,1322,1727,0.0012636
1523,718,654,0.00125271
3577,324,1411,0.00387552
3727,433,479,0.00450846
1955,899,1870,0.00358799
875,338,1672,0.00184053
3962,620,1113,0.00711224
4762,1495,1499,0.0016141
4771,1506,1978,0.00276022
3238,58,1419,0.00109331
2826,1613,1612,0.000449503
1441,608,1374,8.72097e-05
1031,459,408,0.0012248
3618,365,1191,0.00144203
2283,2007,1131,0.000228104
2689,1989,1470,0.0019483
4638,1345,1591,0.000232165
2683,1654,1466,0.00256484
3119,2043,2042,0.00103658
1773,795,788,0.000436744
4198,840,959,0.00564241
4674,1385,1660,0.0001163
3260,71,1948,8.90028e-05
3379,162,169,0.00346123
2054,961,958,0.00138079
1168,1121,481,0.000565743
2424,1247,1943,0.000127879
790,1445,295,0.000299041
1662,1792,727,0.000255902
4215,853,2029,0.00437359
1356,565,803,0.00130583
1578,1542,681,0.00291013
2616,1404,1804,0.00107274
3707,423,424,0.00172573
4046,939,694,0.000955977
4924,1790,1799,0.000206203
3744,471,1448,0.00279755
2792,1680,1579,0.0004884
4895,1743,1762,0.000217319
3723,432,437,0.00141613
2799,1590,2063,7.80785e-05
3386,166,1000,0.00149331
4395,1066,1984,0.000710404
2068,971,1628,0.00285697
341,116,1671,0.000999638
3381,162,618,0.0051853
1119,483,450,0.00020861
1609,2083,700,0.00111761
4092,739,1731,0.00116119
5036,2048,2052,0.00045228
1905,979,870,0.00474883
3313,126,716,0.00179568
3939,729,594,0.00233987
3138,1,1776,0.00201758
